"URXUAS5.Code.or.Value","URXUAS5.Value.Description","URXUAS5.Count","URXUAS5.Cumulative","URXUAS5.Skip.to.Item"
"0.7 to 8.8","Range of Values",2573,2573,NA
".","Missing",100,2673,NA
