"MCQ220.Code.or.Value","MCQ220.Value.Description","MCQ220.Count","MCQ220.Cumulative","MCQ220.Skip.to.Item"
"1","Yes",386,386,""
"2","No",4489,4875,"MCQ245A"
"7","Refused",0,4875,"MCQ245A"
"9","Don't know",5,4880,"MCQ245A"
".","Missing",4613,9493,""
