"RHQ390.Code.or.Value","RHQ390.Value.Description","RHQ390.Count","RHQ390.Cumulative","RHQ390.Skip.to.Item"
"17 to 52","Range of Values",176,176,NA
"777","Refused",0,176,NA
"999","Don't know",3,179,NA
".","Missing",3418,3597,NA
