"DXXRLBMD.Code.or.Value","DXXRLBMD.Value.Description","DXXRLBMD.Count","DXXRLBMD.Cumulative","DXXRLBMD.Skip.to.Item"
"0.592 to 2.613","Range of Values",3988,3988,NA
".","Missing",1126,5114,NA
