"URDMU4LC.Code.or.Value","URDMU4LC.Value.Description","URDMU4LC.Count","URDMU4LC.Cumulative","URDMU4LC.Skip.to.Item"
"0","At or above detection limit",2557,2557,NA
"1","Below lower detection limit",64,2621,NA
".","Missing",138,2759,NA
