"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",6928,6928,NA
"2","Spanish",662,7590,NA
"3","English and Spanish",61,7651,NA
"4","Other",2,7653,NA
"5","Asian Languages",56,7709,NA
"6","Asian Languages and English",1,7710,NA
".","Missing",2103,9813,NA
