"WBXP104.Code.or.Value","WBXP104.Value.Description","WBXP104.Count","WBXP104.Cumulative","WBXP104.Skip.to.Item"
"-133.6946 to 165.3709","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
