"DIQ240.Code.or.Value","DIQ240.Value.Description","DIQ240.Count","DIQ240.Cumulative","DIQ240.Skip.to.Item"
"1","Yes",565,565,""
"2","No",172,737,"DID260"
"7","Refused",0,737,"DID260"
"9","Don't know",0,737,"DID260"
".","Missing",9033,9770,""
