"DR2IM161.Code.or.Value","DR2IM161.Value.Description","DR2IM161.Count","DR2IM161.Cumulative","DR2IM161.Skip.to.Item"
"0 to 7.021","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
