"AUXRR159.Code.or.Value","AUXRR159.Value.Description","AUXRR159.Count","AUXRR159.Cumulative","AUXRR159.Skip.to.Item"
"-53 to 95","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
