"DS2ISUGR.Code.or.Value","DS2ISUGR.Value.Description","DS2ISUGR.Count","DS2ISUGR.Cumulative","DS2ISUGR.Skip.to.Item"
"0.003 to 36","Range of Values",653,653,NA
".","Missing",4945,5598,NA
