"DTQ040U.Code.or.Value","DTQ040U.Value.Description","DTQ040U.Count","DTQ040U.Cumulative","DTQ040U.Skip.to.Item"
"1","Day",1471,1471,NA
"2","Week",1664,3135,NA
"3","Month",2265,5400,NA
"7","Refused",3,5403,NA
"9","Don't know",5,5408,NA
".","Missing",3133,8541,NA
