"OSQ040ca.Code.or.Value","OSQ040ca.Value.Description","OSQ040ca.Count","OSQ040ca.Cumulative","OSQ040ca.Skip.to.Item"
"1","Under 50 years old, or",58,58,"OSQ025"
"2","50 years old or older?",18,76,""
"7","Refused",0,76,"OSQ025"
"9","Don't know",0,76,"OSQ025"
".","Missing",3739,3815,""
