"URXP05.Code.or.Value","URXP05.Value.Description","URXP05.Count","URXP05.Cumulative","URXP05.Skip.to.Item"
"3.5 to 21153.2","Range of Values",2426,2426,NA
".","Missing",271,2697,NA
