"RFXC078.Code.or.Value","RFXC078.Value.Description","RFXC078.Count","RFXC078.Cumulative","RFXC078.Skip.to.Item"
"-7.553 to 5.187","Range of Values",33696,33696,NA
".","Missing",25,33721,NA
