"DR2IFDCD.Code.or.Value","DR2IFDCD.Value.Description","DR2IFDCD.Count","DR2IFDCD.Cumulative","DR2IFDCD.Skip.to.Item"
"11000000 to 94210100","Range of Values",120871,120871,NA
".","Missing",0,120871,NA
