"PAQ635.Code.or.Value","PAQ635.Value.Description","PAQ635.Count","PAQ635.Cumulative","PAQ635.Skip.to.Item"
"1","Yes",1991,1991,""
"2","No",5114,7105,"PAQ650"
"7","Refused",0,7105,"PAQ650"
"9","Don't know",0,7105,"PAQ650"
".","Missing",2254,9359,""
