"URXHEM.Code.or.Value","URXHEM.Value.Description","URXHEM.Count","URXHEM.Cumulative","URXHEM.Skip.to.Item"
"0.559 to 49.4","Range of Values",3015,3015,NA
".","Missing",264,3279,NA
