"LBDMPAHL.Code.or.Value","LBDMPAHL.Value.Description","LBDMPAHL.Count","LBDMPAHL.Cumulative","LBDMPAHL.Skip.to.Item"
"0","At or above the detection limit",562,562,NA
"1","Below lower detection limit",1532,2094,NA
".","Missing",274,2368,NA
