"TYXA173.Code.or.Value","TYXA173.Value.Description","TYXA173.Count","TYXA173.Cumulative","TYXA173.Skip.to.Item"
"0.09 to 6.374","Range of Values",1350,1350,NA
".","Missing",4235,5585,NA
