"SMQ173.Code.or.Value","SMQ173.Value.Description","SMQ173.Count","SMQ173.Cumulative","SMQ173.Skip.to.Item"
"1 to 10","Range of Values",24,24,NA
"7777","Refused",0,24,NA
"9999","Don't know",0,24,NA
".","Missing",5017,5041,NA
