"LBDHEG.Code.or.Value","LBDHEG.Value.Description","LBDHEG.Count","LBDHEG.Cumulative","LBDHEG.Skip.to.Item"
"1","Positive",404,404,NA
"2","Negative",6662,7066,NA
".","Missing",755,7821,NA
