"URDPMMLC.Code.or.Value","URDPMMLC.Value.Description","URDPMMLC.Count","URDPMMLC.Cumulative","URDPMMLC.Skip.to.Item"
"0","At or above the detection limit",2417,2417,NA
"1","Below lower detection limit",1,2418,NA
".","Missing",187,2605,NA
