"OSQ010b.Code.or.Value","OSQ010b.Value.Description","OSQ010b.Count","OSQ010b.Cumulative","OSQ010b.Skip.to.Item"
"1","Yes",549,549,"OSQ020b"
"2","No",5381,5930,""
"7","Refused",0,5930,""
"9","Don't know",5,5935,""
".","Missing",0,5935,""
