"LBXSUA.Code.or.Value","LBXSUA.Value.Description","LBXSUA.Count","LBXSUA.Cumulative","LBXSUA.Skip.to.Item"
"0.7 to 13.3","Range of Values",6551,6551,NA
".","Missing",428,6979,NA
