"DRD350BQ.Code.or.Value","DRD350BQ.Value.Description","DRD350BQ.Count","DRD350BQ.Cumulative","DRD350BQ.Skip.to.Item"
"1 to 12","Range of Values",785,785,NA
".","Missing",9028,9813,NA
