"DS1TMFAT.Code.or.Value","DS1TMFAT.Value.Description","DS1TMFAT.Count","DS1TMFAT.Cumulative","DS1TMFAT.Skip.to.Item"
"0.1 to 6","Range of Values",77,77,NA
".","Missing",10176,10253,NA
