"DR1ILYCO.Code.or.Value","DR1ILYCO.Value.Description","DR1ILYCO.Count","DR1ILYCO.Cumulative","DR1ILYCO.Skip.to.Item"
"0 to 128139","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
