"URDTRALC.Code.or.Value","URDTRALC.Value.Description","URDTRALC.Count","URDTRALC.Cumulative","URDTRALC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2557,2557,NA
".","Missing",199,2756,NA
