"URDPPBLC.Code.or.Value","URDPPBLC.Value.Description","URDPPBLC.Count","URDPPBLC.Cumulative","URDPPBLC.Skip.to.Item"
"0","At or above the detection limit",2468,2468,NA
"1","Below lower detection limit",136,2604,NA
".","Missing",114,2718,NA
