"RFXC121.Code.or.Value","RFXC121.Value.Description","RFXC121.Count","RFXC121.Cumulative","RFXC121.Skip.to.Item"
"-4.043 to 5.67","Range of Values",33683,33683,NA
".","Missing",38,33721,NA
