"DXXHEA.Code.or.Value","DXXHEA.Value.Description","DXXHEA.Count","DXXHEA.Cumulative","DXXHEA.Skip.to.Item"
"164.36 to 289.21","Range of Values",5379,5379,NA
".","Missing",654,6033,NA
