"MCQ365d.Code.or.Value","MCQ365d.Value.Description","MCQ365d.Count","MCQ365d.Cumulative","MCQ365d.Skip.to.Item"
"1","Yes",1746,1746,NA
"2","No",4713,6459,NA
"7","Refused",0,6459,NA
"9","Don't know",5,6464,NA
".","Missing",3306,9770,NA
