"DXXPT24X.Code.or.Value","DXXPT24X.Value.Description","DXXPT24X.Count","DXXPT24X.Cumulative","DXXPT24X.Skip.to.Item"
"226.4 to 867.5","Range of Values",3301,3301,NA
".","Missing",407,3708,NA
