"PFQ056.Code.or.Value","PFQ056.Value.Description","PFQ056.Count","PFQ056.Cumulative","PFQ056.Skip.to.Item"
"1","Yes",417,417,NA
"2","No",4459,4876,NA
"7","Refused",0,4876,NA
"9","Don't know",2,4878,NA
".","Missing",4615,9493,NA
