"LBXEOA.Code.or.Value","LBXEOA.Value.Description","LBXEOA.Count","LBXEOA.Cumulative","LBXEOA.Skip.to.Item"
"9.28 to 1532.62","Range of Values",2375,2375,NA
".","Missing",317,2692,NA
