"URDP03LC.Code.or.Value","URDP03LC.Value.Description","URDP03LC.Count","URDP03LC.Cumulative","URDP03LC.Skip.to.Item"
"0","At or above the detection limit",2440,2440,NA
"1","Below lower detection limit",48,2488,NA
".","Missing",106,2594,NA
