"LBCBB1LA.Code.or.Value","LBCBB1LA.Value.Description","LBCBB1LA.Count","LBCBB1LA.Cumulative","LBCBB1LA.Skip.to.Item"
"0.2546 to 52.14","Range of Values",300,300,NA
".","Missing",1,301,NA
