"URDP06LC.Code.or.Value","URDP06LC.Value.Description","URDP06LC.Count","URDP06LC.Cumulative","URDP06LC.Skip.to.Item"
"0","At or above the detection limit",2619,2619,NA
"1","Below lower detection limit",31,2650,NA
".","Missing",105,2755,NA
