"DRD370C.Code.or.Value","DRD370C.Value.Description","DRD370C.Count","DRD370C.Cumulative","DRD370C.Skip.to.Item"
"1","Yes",139,139,""
"2","No",5811,5950,"DRD370D"
".","Missing",4303,10253,""
