"AUXRR118.Code.or.Value","AUXRR118.Value.Description","AUXRR118.Count","AUXRR118.Cumulative","AUXRR118.Skip.to.Item"
"-37 to 54","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
