"DSD122Q.Code.or.Value","DSD122Q.Value.Description","DSD122Q.Count","DSD122Q.Cumulative","DSD122Q.Skip.to.Item"
"0.01 to 104","Range of Values",9008,9008,NA
"777777","Refused",1,9009,NA
"999999","Don't know",0,9009,NA
".","Missing",108,9117,NA
