"LBX2DF.Code.or.Value","LBX2DF.Value.Description","LBX2DF.Count","LBX2DF.Cumulative","LBX2DF.Skip.to.Item"
"0.0078 to 0.643","Range of Values",2812,2812,NA
".","Missing",482,3294,NA
