"LBXZBZ.Code.or.Value","LBXZBZ.Value.Description","LBXZBZ.Count","LBXZBZ.Cumulative","LBXZBZ.Skip.to.Item"
"0.7294215727 to 119.47","Range of Values",647,647,NA
".","Missing",204,851,NA
