"DRD370PQ.Code.or.Value","DRD370PQ.Value.Description","DRD370PQ.Count","DRD370PQ.Cumulative","DRD370PQ.Skip.to.Item"
"1 to 4","Range of Values",13,13,NA
".","Missing",9531,9544,NA
