"DR2TSFAT.Code.or.Value","DR2TSFAT.Value.Description","DR2TSFAT.Count","DR2TSFAT.Cumulative","DR2TSFAT.Skip.to.Item"
"0 to 149.64","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
