"AUXRR168.Code.or.Value","AUXRR168.Value.Description","AUXRR168.Count","AUXRR168.Cumulative","AUXRR168.Skip.to.Item"
"-1 to 64","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
