"DSQIPHOS.Code.or.Value","DSQIPHOS.Value.Description","DSQIPHOS.Count","DSQIPHOS.Cumulative","DSQIPHOS.Skip.to.Item"
"4 to 1700","Range of Values",1402,1402,NA
".","Missing",6998,8400,NA
