"OSD110d.Code.or.Value","OSD110d.Value.Description","OSD110d.Count","OSD110d.Cumulative","OSD110d.Skip.to.Item"
"32 to 63","Range of Values",7,7,NA
"80","80 or older",0,7,NA
"777","Refused",0,7,NA
"999","Don't know",1,8,NA
".","Missing",6210,6218,NA
