"FSD111.Code.or.Value","FSD111.Value.Description","FSD111.Count","FSD111.Cumulative","FSD111.Skip.to.Item"
"1","Yes",254,254,NA
"2","No",881,1135,NA
"7","Refused",0,1135,NA
"9","Don't know",0,1135,NA
".","Missing",8621,9756,NA
