"KIQ340.Code.or.Value","KIQ340.Value.Description","KIQ340.Count","KIQ340.Cumulative","KIQ340.Skip.to.Item"
"1","Yes",1151,1151,""
"2","No",623,1774,"KIAQUEX"
"7","Refused",2,1776,"KIAQUEX"
"9","Don't know",18,1794,"KIAQUEX"
".","Missing",3086,4880,""
