"CIQP06.Code.or.Value","CIQP06.Value.Description","CIQP06.Count","CIQP06.Cumulative","CIQP06.Skip.to.Item"
"1","Yes",16,16,""
"2","No",178,194,"CIQP08"
"7","Refused",0,194,"CIQP08"
"9","Don't know",0,194,"CIQP08"
".","Missing",656,850,""
