"LBCBR1.Code.or.Value","LBCBR1.Value.Description","LBCBR1.Count","LBCBR1.Cumulative","LBCBR1.Skip.to.Item"
"0.9899 to 3.446","Range of Values",263,263,NA
".","Missing",2,265,NA
