"WTSB2YR.Code.or.Value","WTSB2YR.Value.Description","WTSB2YR.Count","WTSB2YR.Cumulative","WTSB2YR.Skip.to.Item"
"0 to 533131.16757","Range of Values",2718,2718,NA
".","Missing",0,2718,NA
