"OSQ020c.Code.or.Value","OSQ020c.Value.Description","OSQ020c.Count","OSQ020c.Cumulative","OSQ020c.Skip.to.Item"
"1 to 10","Range of Values",125,125,NA
"7777","Refused",0,125,NA
"9999","Don't know",2,127,NA
".","Missing",4852,4979,NA
