"ORXH64.Code.or.Value","ORXH64.Value.Description","ORXH64.Count","ORXH64.Cumulative","ORXH64.Skip.to.Item"
"1","Positive",0,0,NA
"2","Negative",4847,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
