"DS1ACTSS.Code.or.Value","DS1ACTSS.Value.Description","DS1ACTSS.Count","DS1ACTSS.Cumulative","DS1ACTSS.Skip.to.Item"
"0.1 to 37.5","Range of Values",5888,5888,NA
"999","Don't know",0,5888,NA
".","Missing",180,6068,NA
