"LBXPLTSI.Code.or.Value","LBXPLTSI.Value.Description","LBXPLTSI.Count","LBXPLTSI.Cumulative","LBXPLTSI.Skip.to.Item"
"4 to 1000","Range of Values",8400,8400,NA
".","Missing",1040,9440,NA
