"LBC151LA.Code.or.Value","LBC151LA.Value.Description","LBC151LA.Count","LBC151LA.Cumulative","LBC151LA.Skip.to.Item"
"0.1 to 2.4","Range of Values",264,264,NA
".","Missing",0,264,NA
