"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"2725.808655 to 280175.99397","Range of Values",5906,5906,NA
".","Missing",0,5906,NA
