"DSQTPOTA.Code.or.Value","DSQTPOTA.Value.Description","DSQTPOTA.Count","DSQTPOTA.Cumulative","DSQTPOTA.Skip.to.Item"
"0 to 5977.1","Range of Values",1298,1298,NA
".","Missing",8851,10149,NA
