"PADDURAT.Code.or.Value","PADDURAT.Value.Description","PADDURAT.Count","PADDURAT.Cumulative","PADDURAT.Skip.to.Item"
"10 to 600","Range of Values",13433,13433,NA
".","Missing",6,13439,NA
