"DXXIPX.Code.or.Value","DXXIPX.Value.Description","DXXIPX.Count","DXXIPX.Cumulative","DXXIPX.Skip.to.Item"
"374.6 to 1012.2","Range of Values",3295,3295,NA
".","Missing",413,3708,NA
