"DRXIM201.Code.or.Value","DRXIM201.Value.Description","DRXIM201.Count","DRXIM201.Cumulative","DRXIM201.Skip.to.Item"
"0 to 2.42","Range of Values",127147,127147,NA
".","Missing",693,127840,NA
